id__,country,regio,s3,anni,area,s5,q3ter,q4__4,q4__5,q4__6,q4__7,q4__8,q4__9,q4__10,q5__4,q5__5,q5__6,q5__7,q5__8,q5__9,q5__10,eta,stile,generation,res_acq,freq_past,freq_dol,freq_bis,freq_mer,freq_caf,freq_te,freq_cioc,cam_past,cam_dol,cam_bis,cam_mer,cam_caf,cam_te,cam_cioc
33,Italia,Lombardia,Maschio,55,Nord Ovest,Solo io,"LOCALIVORI: danno priorità ai prodotti km0 e anche biologici, quando riescono cercano di autoprodursi il cibo che consum",raro,raro,raro,2-3/mese,ogni giorno,2-3/sett,raro,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,55-64,Localivori,Gen X,L'intervistato,0.0,0.0,0.0,2.5,30.0,10.0,0.0,0,0,0,0,0,0,0
34,Italia,Puglia,Maschio,23,Sud e Isole,Solo io,"SALUTISTI: sono molto attenti a un’alimentazione sana, spesso sono sotto regime dietetico e si concedono pochi sgarri du",1/mese,1/mese,2-3/sett,1/sett,ogni giorno,raro,1/mese,Uguale,Uguale,Poco +,Uguale,Uguale,Uguale,Uguale,20-24,Salutisti,Gen Z,L'intervistato,1.0,1.0,10.0,4.0,30.0,0.0,1.0,0,0,1,0,0,0,0
35,Italia,Liguria,Maschio,23,Nord Ovest,Soprattutto io,"EDONISTI: persone che ricercano l’esperienza gustativa nel consumo alimentare, non si accontentano di sfamarsi per neces",2-3/mese,1/mese,2-3/sett,1/sett,ogni giorno,ogni giorno,2-3/mese,Uguale,Poco +,Uguale,Uguale,Uguale,Poco +,Uguale,20-24,Edonisti,Gen Z,L'intervistato,2.5,1.0,10.0,4.0,30.0,30.0,2.5,0,1,0,0,0,1,0
36,Italia,Abruzzo,Femmina,60,Sud e Isole,Soprattutto io,Nessuno di questi,2-3/sett,2-3/sett,2-3/sett,1/sett,2-3/sett,1/sett,2-3/sett,Molto +,Molto +,Molto +,Molto +,Molto +,Molto +,Molto +,55-64,Nessuno di questi,Boomer,L'intervistato,10.0,10.0,10.0,4.0,10.0,4.0,10.0,1,1,1,1,1,1,1
37,Italia,Friuli Venezia Giulia,Maschio,24,Nord Est,Soprattutto io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",1/sett,1/sett,1/sett,2-3/sett,1/sett,2-3/sett,1/sett,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,20-24,Territorialisti,Gen Z,L'intervistato,4.0,4.0,4.0,10.0,4.0,10.0,4.0,0,0,0,0,0,0,0
38,Italia,Umbria,Maschio,34,Centro,Solo io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",raro,ogni giorno,1/mese,ogni giorno,raro,1/sett,raro,Poco +,Poco +,Poco -,Uguale,Poco -,Uguale,Poco -,25-34,Territorialisti,Gen Y,L'intervistato,0.0,30.0,1.0,30.0,0.0,4.0,0.0,1,1,-1,0,-1,0,-1
39,Italia,Sardegna,Maschio,25,Sud e Isole,Soprattutto io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",2-3/sett,2-3/sett,2-3/sett,ogni giorno,ogni giorno,raro,ogni giorno,Molto +,Molto +,Molto +,Molto +,Uguale,Molto -,Molto +,25-34,Territorialisti,Gen Z,L'intervistato,10.0,10.0,10.0,30.0,30.0,0.0,30.0,1,1,1,1,0,-1,1
40,Italia,Abruzzo,Femmina,21,Sud e Isole,Solo io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",2-3/sett,2-3/sett,ogni giorno,2-3/sett,1/sett,1/sett,2-3/sett,Molto +,Poco +,Poco +,Poco +,Poco +,Poco +,Poco +,20-24,Territorialisti,Gen Z,L'intervistato,10.0,10.0,30.0,10.0,4.0,4.0,10.0,1,1,1,1,1,1,1
41,Italia,Lombardia,Maschio,23,Nord Ovest,Solo io,"INDUSTRIARIANI: comprano nei supermercati, di cui vedono diverse qualità, tra cui avere merce sicura tutto l’anno a prez",raro,1/mese,1/mese,1/mese,raro,raro,1/mese,Poco +,Poco -,Uguale,Uguale,Poco +,Uguale,Uguale,20-24,Industriariani,Gen Z,L'intervistato,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1,-1,0,0,1,0,0
42,Italia,Liguria,Maschio,21,Nord Ovest,Soprattutto altri membri della famiglia,"ESTEROFILI: sempre pronti a sperimentare nuove cucine, differenti dai consueti piatti nazionali. Sono dei viaggiatori de",ogni giorno,2-3/sett,2-3/mese,1/sett,2-3/mese,2-3/mese,ogni giorno,Poco -,Molto -,Uguale,Poco +,Poco +,Poco -,Molto +,20-24,Esterofili,Gen Z,Altri,30.0,10.0,2.5,4.0,2.5,2.5,30.0,-1,-1,0,1,1,-1,1
